company,job_title,linkedin_job_id,location,posted_on,posted_date,employment_type,seniority_level
Google,Digital Marketing Strategist,view,"Gurugram, Haryana, India",2024-08-03,03-08-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,Mumbai Metropolitan Region,2024-07-31,31-07-2024,null,null
Google,Marketing Category Manager,view,"Gurgaon, Haryana, India",2024-07-17,17-07-2024,null,null
Google,Technical Recruiter,view,"Bengaluru, Karnataka, India",2024-07-24,24-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Gurgaon, Haryana, India",2024-07-31,31-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Hyderabad, Telangana, India",2024-07-31,31-07-2024,null,null
Google,"Software Engineer, University Graduate, 2025",view,"Pune, Maharashtra, India",2024-07-31,31-07-2024,null,null
Google,Technical Recruiter,view,"Hyderabad, Telangana, India",2024-07-24,24-07-2024,null,null
Google,"Product Specialist, Product and Sales Activation",view,"Gurugram, Haryana, India",2024-07-18,18-07-2024,null,null
Google,Marketing Category Manager,view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,null,null
Google,Data Analyst,view,"Hyderabad, Telangana, India",2024-07-19,19-07-2024,null,null
Google,Executive Recruiter,view,"Gurugram, Haryana, India",2024-08-05,05-08-2024,null,null
Google,Digital Marketing Strategist,view,"Hyderabad, Telangana, India",2024-08-03,03-08-2024,null,null
Google,"Software Engineer, Core",view,"Bengaluru, Karnataka, India",2024-07-24,24-07-2024,null,null
Google,"Software Engineer, Core",view,"Hyderabad, Telangana, India",2024-08-03,03-08-2024,null,null
Google,"Accountant, Platforms and Ecosystems",view,"Hyderabad, Telangana, India",2024-07-19,19-07-2024,null,null
Google,Executive Recruiter,view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,null,null
Google,"Marketing Analytics Manager, Ads Marketing",view,"Gurugram, Haryana, India",2024-08-06,06-08-2024,null,null
Google,"Account Manager, Ad Sales",view,"Gurgaon, Haryana, India",2024-08-04,04-08-2024,null,null
Google,"Administrative Business Partner, Search Platforms",view,"Bengaluru, Karnataka, India",2024-08-05,05-08-2024,null,null
Google,Executive Recruiter,view,"Hyderabad, Telangana, India",2024-08-05,05-08-2024,null,null
Google,"Growth Manager, AppDev (English, Hindi)",view,"Gurugram, Haryana, India",2024-07-26,26-07-2024,null,null
Google,"Software Engineer, Google Ads",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,null,null
Google,"Media lead, Marketing",view,"Gurgaon, Haryana, India",2024-08-05,05-08-2024,null,null
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",view,"Gurugram, Haryana, India",2024-08-01,01-08-2024,null,null
Google,"Account Strategist, Mid-Market Sales, Google Customer Solutions",view,Mumbai Metropolitan Region,2024-08-01,01-08-2024,null,null
Google,"Embedded Software Engineer, University Graduate, 2025",view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,null,null
Google,"Software Engineer, Payments",view,"Bengaluru, Karnataka, India",2024-07-31,31-07-2024,null,null
Google,"Product Manager, Customer Engagement",view,"Hyderabad, Telangana, India",2024-07-26,26-07-2024,null,null
Google,"Product Support Manager, Google Play",view,"Gurgaon, Haryana, India",2024-07-22,22-07-2024,null,null
Google,"Software Engineer, YouTube",view,"Bengaluru, Karnataka, India",2024-07-19,19-07-2024,null,null
Google,"Software Engineer, Payments",view,"Hyderabad, Telangana, India",2024-07-20,20-07-2024,null,null
Google,"Program Manager, Strategy and Operations",view,"Hyderabad, Telangana, India",2024-07-24,24-07-2024,null,null
Google,"Customer Onboarding Strategist, Acquisitions, Google Customer Solutions",view,"Bengaluru, Karnataka, India",2024-07-19,19-07-2024,null,null
Google,"Product Manager, Search",view,"Bengaluru, Karnataka, India",2024-08-02,02-08-2024,null,null
